Dataset,AEL,Drain,IPLoM,LenMa,LFA,LogCluster,LogMine,Logram,LogSig,MoLFI,SHISO,SLCT,Spell,UniParser,LogPPT
Average,0.110 / 1793.640,0.270 / 425.360,0.180 / 342.180,4.000 / 1370.540,0.170 / 310.780,0.190 / 200.660,2.770 / 4254.820,0.130 / 946.950,15.370 / 2200.510,22.210 / 4164.150,1.850 / 1373.580,0.850 / 591.120,0.650 / 779.510,3.440 / 2255.250,4.920 / 4109.840
Hadoop,0.110 / 83.140,0.250 / 19.340,0.170 / 14.090,1.180 / 1182.380,0.160 / 12.470,0.200 / 9.830,2.920 / 17677.970,0.120 / 531.080,5.080 / 283.070,14.060 / 7725.620,4.160 / 283.590,0.870 / 18.980,0.350 / 73.850,4.720 / 83.310,3.730 / 191.380
HDFS,0.100 / 1402.980,0.220 / 1123.340,0.170 / 953.340,0.750 / 4573.050,0.170 / 871.190,0.180 / 560.620,0.810 / -1,0.170 / -1,1.210 / 7720.110,2.310 / 4287.070,0.790 / 7650.120,0.840 / 1017.340,0.290 / 1472.950,4.450 / 4818.950,3.870 / 12133.690
OpenStack,0.140 / 25.700,0.500 / 64.300,0.210 / 21.110,5.340 / 513.050,0.200 / 18.860,0.220 / 12.240,4.020 / -1,0.140 / 216.070,4.480 / 463.720,51.520 / 15554.130,1.810 / 155.390,0.900 / 23.290,1.200 / 3200.750,2.560 / 138.650,14.630 / 371.710
Spark,0.110 / -1,0.210 / 1593.770,0.180 / 1501.810,1.110 / -1,0.180 / 1373.160,0.210 / 911.090,3.550 / -1,0.180 / -1,2.590 / -1,111.640 / -1,3.020 / -1,0.850 / -1,0.290 / -1,3.060 / 8806.840,2.790 / 13995.580
Zookeeper,0.090 / 2.800,0.220 / 6.990,0.160 / 5.420,0.840 / 31.930,0.180 / 4.930,0.140 / 2.110,1.800 / 2599.060,0.080 / 23.440,3.550 / 141.740,4.000 / 19.930,1.180 / 117.320,0.830 / 7.010,0.250 / 7.970,4.170 / 50.610,2.730 / 49.540
BGL,0.090 / 9269.760,0.250 / 498.260,0.170 / 365.800,3.280 / -1,0.150 / 323.880,0.180 / 182.780,0.340 / 1953.970,0.110 / -1,89.910 / -1,12.140 / -1,2.670 / 6618.090,0.830 / -1,0.460 / 2064.170,1.980 / 1685.300,2.870 / 2456.350
HPC,0.080 / 15.120,0.250 / 37.840,0.150 / 29.750,2.360 / 6901.860,0.140 / 26.050,0.140 / 9.410,3.720 / -1,0.080 / 2408.750,23.030 / 6827.540,8.960 / 767.520,1.710 / 320.660,0.750 / 4128.710,0.260 / -1,1.270 / 109.010,12.310 / 219.120
Thunderbird,0.090 / 11807.540,0.220 / 2491.790,0.180 / 1813.960,0.760 / -1,0.160 / 1646.310,0.190 / 1082.260,3.100 / -1,0.150 / -1,12.340 / -1,20.790 / -1,1.620 / -1,0.880 / -1,0.360 / -1,4.320 / 15368.390,3.620 / 27008.590
Linux,0.100 / 3.930,0.290 / 2.590,0.220 / 1.910,0.930 / 10.960,0.190 / 1.730,0.220 / 1.420,2.980 / 345.930,0.150 / 10.900,2.550 / 27.610,7.790 / 77.930,1.190 / 55.670,0.840 / 2.520,0.330 / 3.460,4.220 / 10.080,3.170 / 18.560
Mac,0.140 / 8.610,0.410 / 17.060,0.200 / 9.020,0.980 / 167.710,0.180 / 8.030,0.200 / 4.940,3.450 / 5478.320,0.140 / 80.160,60.090 / 5856.360,57.790 / 3691.270,3.760 / 267.260,1.010 / 1221.920,3.890 / 1494.820,2.960 / 66.960,7.240 / 193.690
Apache,0.100 / 2.720,0.220 / 5.080,0.150 / 3.630,0.700 / 30.230,0.140 / 3.220,0.200 / 2.660,1.530 / 1048.950,0.110 / 17.200,0.650 / 18.160,1.260 / 14.160,0.480 / 100.600,0.810 / 4.540,0.230 / 5.820,3.940 / 21.040,2.380 / 35.110
OpenSSH,0.110 / 344.140,0.260 / 74.060,0.210 / 55.220,0.880 / 254.020,0.170 / 48.540,0.160 / 22.170,2.950 / -1,0.130 / 5290.140,5.880 / 2195.800,3.880 / 303.940,2.330 / 827.550,0.840 / 58.880,0.330 / 83.990,4.270 / 328.300,3.410 / 671.480
HealthApp,0.110 / 349.540,0.200 / 17.660,0.140 / 13.440,31.040 / -1,0.120 / 10.690,0.150 / 6.440,2.660 / -1,0.090 / 885.600,2.770 / 659.500,10.840 / 13349.970,0.540 / 78.180,0.780 / 15.660,0.260 / 160.070,1.460 / 71.420,2.720 / 170.130
Proxifier,0.150 / 1.390,0.300 / 2.890,0.240 / 1.970,5.820 / 40.190,0.240 / 1.890,0.230 / 1.220,4.940 / 679.520,0.180 / 6.120,1.090 / 11.990,3.950 / 14.130,0.700 / 8.570,0.890 / 3.520,0.610 / 6.770,4.820 / 14.680,3.360 / 22.840
